591908940197,593250615446,592256461832,313052420608,314394100736,313399943506.7619
593250615446,594592359804,593598096700,314394100736,315735849984,314741583256.39874
594592359804,595934106204,594939838087,315735849984,317077601280,316083329534.9398
595934106204,597275850577,596281629138,317077601280,318419350528,317425125476.6655
597275850577,598617594944,597623372041,318419350528,319761099776,318766873256.21423
598617594944,599959339805,598965106261,319761099776,321102849536,320108612361.8388
599959339805,601301082624,600306847637,321102849536,322444597248,321450358635.27405
601301082624,602642830565,601648587480,322444597248,323786350080,322792103370.74036
602642830565,603984574927,602990330393,323786350080,325128099328,324133851173.4304
603984574927,605326316228,604332068188,325128099328,326469845504,325475593851.56055
605326316228,606668060570,605673807519,326469845504,327811594752,326817338065.5791
606668060570,608009803392,607015542252,327811594752,329153342464,328159077700.40173
608009803392,609351552862,608357285168,329153342464,330495096832,329500825508.4676
609351552862,610693294160,609699076191,330495096832,331836843008,330842621424.44684
610693294160,612035038530,611040816056,331836843008,333178592256,332184366167.4388
612035038530,613376710173,612382559468,333178592256,334520268800,333526114463.4612
613376710173,614718451454,613724192347,334520268800,335862014976,334867752241.6998
614718451454,616060199408,615065931628,335862014976,337203767808,336209496413.2837
616060199408,617401945809,616407722665,337203767808,338545519104,337551292332.8449
617401945809,618743688116,617749467626,338545519104,339887266304,338893042188.3255
618743688116,620085434522,619091200326,339887266304,341229017600,340234779780.5096
620085434522,621427178880,620432941166,341229017600,342570766848,341576525510.4913
621427178880,622768925288,621774683069,342570766848,343912518144,342918272302.9624
622768925288,624110669651,623116423923,343912518144,345254267392,344260018044.1671
624110669651,625452408889,624458163244,345254267392,346596011520,345601762251.44855
625452408889,626794155296,625799901049,346596011520,347937762816,346943504946.17755
626794155296,628135896078,627141637322,347937762816,349279508480,348285246106.3331
628135896078,629477647613,628483378673,349279508480,350621264896,349626992339.06604
629477647613,630819386841,629825169723,350621264896,351963009024,350968788275.1426
630819386841,632161131723,631166909553,351963009024,353304758784,352310532999.4412
632161131723,633502803366,632508652474,353304758784,354646435328,353652280804.4605
633502803366,634844544145,633850285310,354646435328,355988180992,354993918537.10974
634844544145,636186294142,635192025148,355988180992,357329935872,356335663259.5796
636186294142,637528038487,636533815679,357329935872,358671685120,357677458678.9126
637528038487,638869782860,637875560643,358671685120,360013434368,359019208538.66266
638869782860,640211525668,639217293314,360013434368,361355182080,360360946092.1326
640211525668,641553273618,640559032638,361355182080,362696934912,361702690314.4171
641553273618,642895017971,641900777608,362696934912,364038684160,363044440169.77655
642895017971,644236762333,643242517435,364038684160,365380433408,364386184889.42914
644236762333,645578501568,644584254729,365380433408,366722177536,365727927071.2211
645578501568,646920247974,645925994585,366722177536,368063928832,367069671819.43964
646920247974,648261990795,647267730836,368063928832,369405676544,368411412960.665
648261990795,649603740284,648609472194,369405676544,370747430912,369753159206.54565
649603740284,650945479517,649951263273,370747430912,372089175040,371094955168.8507
650945479517,652287223871,651293002597,372089175040,373430924288,372436699387.58716
652287223871,653628897573,652634747551,373430924288,374772602880,373778449234.62006
653628897573,654970638349,653976378856,374772602880,376114348544,375120085428.8842
654970638349,656312386290,655318118187,376114348544,377456101376,376461829648.6492
656312386290,657654132696,656659909733,377456101376,378797852672,377803626085.55054
657654132696,658995875520,658001654712,378797852672,380139600384,379145375954.0307
658995875520,660337619878,659343386885,380139600384,381481349632,380487113015.5084
660337619878,661679366287,660685128235,381481349632,382823100928,381828859254.71857
661679366287,663021110633,662026869640,382823100928,384164850176,383170605550.5872
663021110633,664362856530,663368611004,384164850176,385506600960,384512351812.68994
664362856530,665704595768,664710350869,385506600960,386848345088,385854096565.45123
665704595768,667046342177,666052088661,386848345088,388190096384,387195839246.66223
667046342177,668388084480,667393824403,388190096384,389531843584,388537579878.2171
668388084480,669729834469,668735565257,389531843584,390873598464,389879325627.65063
669729834469,671071573705,670077356825,390873598464,392215342592,391221122087.07135
671071573705,672413318065,671419096152,392215342592,393557091840,392562866305.0308
672413318065,673754989719,672760839070,393557091840,394898768384,393904614111.61224
673754989719,675096732545,674102470897,394898768384,396240516096,395246250827.36395
675096732545,676438480481,675444211751,396240516096,397582268928,396587996569.9417
676438480481,677780224836,676786002812,397582268928,398924018176,397929792526.32544
677780224836,679121969189,678127746229,398924018176,400265767424,399271540836.84
679121969189,680463715608,679469480442,400265767424,401607518720,400613279940.1391
680463715608,681805456379,680811223361,401607518720,402949264384,401955027740.2757
681805456379,683147204318,682152963207,402949264384,404291017216,403296772479.26556
683147204318,684488948680,683494704584,404291017216,405632766464,404638518747.43207
684488948680,685830689968,684836441866,405632766464,406974512640,405980260915.9271
685830689968,687172434320,686178183253,406974512640,408316261888,407322007192.99646
687172434320,688514176648,687519915934,408316261888,409658009088,408663744763.7403
688514176648,689855926619,688861658840,409658009088,410999763968,410005492551.31744
689855926619,691197667399,690203449884,410999763968,412341509632,411347288498.00116
691197667399,692539411755,691545189723,412341509632,413683258880,412689033223.0664
692539411755,693881083406,692886932655,413683258880,415024935424,414030781047.3889
693881083406,695222826226,694228564461,415024935424,416366683136,415372417745.9174
695222826226,696564565454,695570305353,416366683136,417708427264,416714163531.98553
696564565454,697906318519,696912045183,417708427264,419050185216,418055908258.60803
697906318519,699248084376,698253839826,419050185216,420391955968,419397707790.8194
699248084376,700589807231,699595577076,420391955968,421733683712,420739449934.2017
700589807231,701931548005,700937314898,421733683712,423075429376,422081192645.49835
701931548005,703273295955,702279054744,423075429376,424417182208,423422937379.4162
703273295955,704615061809,703620797657,424417182208,425758952960,424764685178.52484
